year_actual,month_name,claim_type,nama_product,jenis_product,total_claims,total_claim_amount,total_approved_amount,avg_processing_days,rejected_claims,rejection_rate
2024,August,Accident,Asuransi Kendaraan Consequatur,Asuransi Kendaraan,9,7596337230.0,2833669975.0,18.77777777777778,1,11.11111111111111
2024,August,Accident,Asuransi Kendaraan Dolorum,Asuransi Kendaraan,7,2018468033.0,915939337.0,18.571428571428573,1,14.285714285714285
2024,August,Accident,Asuransi Kendaraan Facilis,Asuransi Kendaraan,9,6687176561.0,2190562870.0,13.88888888888889,1,11.11111111111111
2024,August,Accident,Asuransi Kendaraan Harum,Asuransi Kendaraan,11,10870668837.0,6641720164.0,17.818181818181817,0,0.0
2024,August,Accident,Asuransi Kendaraan In,Asuransi Kendaraan,5,4013262200.0,2888101303.0,11.6,1,20.0
2024,August,Accident,Asuransi Kendaraan Ipsa,Asuransi Kendaraan,7,6496011011.0,2095060537.0,14.857142857142858,0,0.0
2024,August,Accident,Asuransi Kendaraan Officiis,Asuransi Kendaraan,9,7959833826.0,2681905180.0,19.22222222222222,1,11.11111111111111
2024,August,Accident,Asuransi Kendaraan Omnis,Asuransi Kendaraan,19,15992245981.0,14006738776.0,16.473684210526315,1,5.263157894736842
2024,August,Accident,Asuransi Kendaraan Quasi,Asuransi Kendaraan,11,9024728722.0,8634261741.0,13.090909090909092,1,9.090909090909092
2024,August,Accident,Asuransi Kendaraan Quis,Asuransi Kendaraan,10,13484450109.0,8228590351.0,14.5,1,10.0
2024,August,Accident,Asuransi Kendaraan Quo,Asuransi Kendaraan,7,6947968022.0,6226386757.0,16.142857142857142,0,0.0
2024,August,Accident,Asuransi Kendaraan Tempore,Asuransi Kendaraan,6,2940368611.0,2255746161.0,18.666666666666668,0,0.0
2024,August,Accident,Asuransi Kendaraan Ullam,Asuransi Kendaraan,15,7448469767.0,2974013655.0,15.6,2,13.333333333333334
2024,August,Accident,Asuransi Kendaraan Vel,Asuransi Kendaraan,9,1311576354.0,899593300.0,17.444444444444443,1,11.11111111111111
