year_actual,month_name,interaction_type,channel,complaint_category,total_interactions,avg_duration,avg_satisfaction,follow_ups_required,avg_resolution_time
2024,August,Keluhan,Call Center,Agent,34,28.91176470588235,3.526315789473684,8,72.0
2024,August,Keluhan,Call Center,Harga,31,33.064516129032256,2.8181818181818183,5,61.09090909090909
2024,August,Keluhan,Call Center,Informasi,22,32.31818181818182,2.7777777777777777,11,66.66666666666667
2024,August,Keluhan,Call Center,Layanan,26,33.03846153846154,2.8181818181818183,3,70.9090909090909
2024,August,Keluhan,Call Center,Produk,22,36.63636363636363,3.0714285714285716,4,68.57142857142857
2024,August,Keluhan,Call Center,Proses Klaim,28,34.25,3.5,12,52.5
2024,August,Keluhan,Call Center,Proses Pembayaran,18,37.22222222222222,2.7857142857142856,7,49.714285714285715
2024,August,Keluhan,Email,Agent,24,31.625,3.1176470588235294,3,64.94117647058823
2024,August,Keluhan,Email,Harga,36,31.5,2.12,10,72.0
2024,August,Keluhan,Email,Informasi,26,32.5,2.9473684210526314,11,48.0
2024,August,Keluhan,Email,Layanan,15,36.46666666666667,3.25,2,50.0
2024,August,Keluhan,Email,Produk,18,37.44444444444444,3.2857142857142856,5,60.0
2024,August,Keluhan,Email,Proses Klaim,26,40.11538461538461,2.875,6,75.0
2024,August,Keluhan,Email,Proses Pembayaran,22,35.81818181818182,2.6666666666666665,8,74.66666666666667
2024,August,Keluhan,Live Chat,Agent,27,29.25925925925926,2.6470588235294117,5,55.05882352941177
2024,August,Keluhan,Live Chat,Harga,26,33.42307692307692,3.25,11,58.8
2024,August,Keluhan,Live Chat,Informasi,32,37.9375,3.2857142857142856,6,60.57142857142857
2024,August,Keluhan,Live Chat,Layanan,33,39.60606060606061,3.25,11,61.2
2024,August,Keluhan,Live Chat,Produk,17,34.529411764705884,3.2857142857142856,4,75.42857142857143
2024,August,Keluhan,Live Chat,Proses Klaim,14,37.857142857142854,2.2222222222222223,3,72.0
2024,August,Keluhan,Live Chat,Proses Pembayaran,26,28.653846153846153,2.555555555555556,5,70.66666666666667
2024,August,Keluhan,Mobile App,Agent,18,38.72222222222222,3.0,6,70.0
2024,August,Keluhan,Mobile App,Harga,24,37.166666666666664,2.8823529411764706,6,63.529411764705884
2024,August,Keluhan,Mobile App,Informasi,20,34.9,3.3,6,67.2
2024,August,Keluhan,Mobile App,Layanan,20,36.55,3.1538461538461537,5,59.07692307692308
2024,August,Keluhan,Mobile App,Produk,26,33.07692307692308,3.2777777777777777,5,77.33333333333333
2024,August,Keluhan,Mobile App,Proses Klaim,30,32.833333333333336,2.9130434782608696,10,66.78260869565217
2024,August,Keluhan,Mobile App,Proses Pembayaran,21,34.57142857142857,3.388888888888889,6,65.33333333333333
2024,August,Keluhan,Social Media,Agent,20,29.05,3.5,3,54.857142857142854
2024,August,Keluhan,Social Media,Harga,21,32.142857142857146,2.4615384615384617,7,51.69230769230769
2024,August,Keluhan,Social Media,Informasi,15,28.666666666666668,3.4,2,74.4
2024,August,Keluhan,Social Media,Layanan,16,35.3125,3.2857142857142856,4,70.28571428571429
2024,August,Keluhan,Social Media,Produk,28,34.32142857142857,2.7058823529411766,12,56.470588235294116
2024,August,Keluhan,Social Media,Proses Klaim,25,32.6,3.1666666666666665,6,50.666666666666664
2024,August,Keluhan,Social Media,Proses Pembayaran,24,36.041666666666664,3.0,8,68.8
2024,August,Keluhan,Walk-in,Agent,28,33.5,3.0526315789473686,7,66.94736842105263
2024,August,Keluhan,Walk-in,Harga,34,35.794117647058826,3.25,14,66.0
2024,August,Keluhan,Walk-in,Informasi,23,32.47826086956522,3.5,9,58.666666666666664
2024,August,Keluhan,Walk-in,Layanan,24,37.875,3.2727272727272725,9,54.54545454545455
2024,August,Keluhan,Walk-in,Produk,25,35.4,3.466666666666667,8,64.0
2024,August,Keluhan,Walk-in,Proses Klaim,23,32.78260869565217,3.4285714285714284,4,66.85714285714286
2024,August,Keluhan,Walk-in,Proses Pembayaran,28,34.25,2.6470588235294117,11,46.588235294117645
2024,August,Keluhan,Website,Agent,23,35.08695652173913,3.3333333333333335,8,59.2
2024,August,Keluhan,Website,Harga,30,35.333333333333336,3.0454545454545454,12,66.54545454545455
2024,August,Keluhan,Website,Informasi,20,29.4,2.6153846153846154,6,64.61538461538461
2024,August,Keluhan,Website,Layanan,22,32.5,2.888888888888889,5,58.666666666666664
2024,August,Keluhan,Website,Produk,23,33.04347826086956,3.0588235294117645,6,69.17647058823529
2024,August,Keluhan,Website,Proses Klaim,23,27.304347826086957,2.9411764705882355,8,56.470588235294116
2024,August,Keluhan,Website,Proses Pembayaran,19,41.73684210526316,2.8,4,65.6
2024,August,Klaim,Call Center,,187,36.94652406417112,3.030534351145038,44,58.99236641221374
2024,August,Klaim,Email,,171,33.91812865497076,2.984,55,55.68
2024,August,Klaim,Live Chat,,182,35.027472527472526,3.032258064516129,64,58.25806451612903
2024,August,Klaim,Mobile App,,176,34.10227272727273,3.024,55,56.256
2024,August,Klaim,Social Media,,174,33.367816091954026,2.8849557522123894,52,60.95575221238938
2024,August,Klaim,Walk-in,,175,32.27428571428572,3.1982758620689653,60,63.93103448275862
2024,August,Klaim,Website,,168,34.94642857142857,2.8990825688073394,58,57.46788990825688
2024,August,Pembatalan Polis,Call Center,,178,16.46067415730337,2.8951612903225805,42,57.29032258064516
2024,August,Pembatalan Polis,Email,,168,16.785714285714285,3.094017094017094,61,58.666666666666664
2024,August,Pembatalan Polis,Live Chat,,176,16.59090909090909,2.9612403100775193,55,64.0
2024,August,Pembatalan Polis,Mobile App,,183,16.15846994535519,3.0930232558139537,59,56.372093023255815
2024,August,Pembatalan Polis,Social Media,,173,16.167630057803468,3.109375,53,61.125
