year_actual,month_name,nama_product,jenis_product,kategori_premi,total_registrations,total_premium,total_sum_assured,avg_premium,referral_count
2024,August,Asuransi Jiwa Accusantium,Asuransi Jiwa,High,50,213500337.0,65973438580.0,4270006.74,41
2024,August,Asuransi Jiwa Consectetur,Asuransi Jiwa,High,74,331080338.0,102413946362.0,4474058.621621622,62
2024,August,Asuransi Jiwa Corrupti,Asuransi Jiwa,High,70,468802613.0,138286542592.0,6697180.185714286,61
2024,August,Asuransi Jiwa Dicta,Asuransi Jiwa,High,63,470486323.0,145257576135.0,7468036.873015873,56
2024,August,Asuransi Jiwa Dolor,Asuransi Jiwa,High,61,448229309.0,138046073446.0,7348021.459016394,50
2024,August,Asuransi Jiwa Explicabo,Asuransi Jiwa,High,62,430093879.0,138470583657.0,6936998.048387097,56
2024,August,Asuransi Jiwa Fugiat,Asuransi Jiwa,Medium,52,55433617.0,16979923362.0,1066031.0961538462,49
2024,August,Asuransi Jiwa Impedit,Asuransi Jiwa,High,58,455466465.0,131307704934.0,7852870.086206896,49
2024,August,Asuransi Jiwa Ipsum,Asuransi Jiwa,Low,60,13487532.0,3874136789.0,224792.2,51
2024,August,Asuransi Jiwa Iure,Asuransi Jiwa,High,46,227750730.0,69544215321.0,4951102.826086956,39
2024,August,Asuransi Jiwa Libero,Asuransi Jiwa,Medium,67,208842163.0,62366282963.0,3117047.2089552237,55
2024,August,Asuransi Jiwa Nam,Asuransi Jiwa,High,40,359164884.0,109571012304.0,8979122.1,36
2024,August,Asuransi Jiwa Neque,Asuransi Jiwa,Medium,61,83526084.0,26530170896.0,1369280.0655737706,53
2024,August,Asuransi Jiwa Nisi,Asuransi Jiwa,Medium,53,138190945.0,42204282996.0,2607376.320754717,45
2024,August,Asuransi Jiwa Nostrum,Asuransi Jiwa,High,68,297157482.0,84557669880.0,4369962.970588235,57
2024,August,Asuransi Jiwa Odit,Asuransi Jiwa,Medium,106,264938017.0,80847893922.0,2499415.254716981,87
2024,August,Asuransi Jiwa Officia,Asuransi Jiwa,Low,49,37951973.0,12544777150.0,774530.0612244898,46
2024,August,Asuransi Jiwa Omnis,Asuransi Jiwa,High,43,392120130.0,118654651722.0,9119072.790697675,35
2024,August,Asuransi Jiwa Perspiciatis,Asuransi Jiwa,Medium,123,157327058.0,49358222198.0,1279081.7723577237,104
2024,August,Asuransi Jiwa Quo,Asuransi Jiwa,High,58,430900150.0,134884645299.0,7429312.931034483,50
2024,August,Asuransi Jiwa Rerum,Asuransi Jiwa,High,53,455403131.0,123747096968.0,8592511.905660378,44
2024,August,Asuransi Jiwa Tempore,Asuransi Jiwa,Medium,39,144082699.0,43224083364.0,3694428.1794871795,31
2024,August,Asuransi Jiwa Ut,Asuransi Jiwa,High,53,259797585.0,82760814749.0,4901841.226415094,45
2024,August,Asuransi Jiwa Veritatis,Asuransi Jiwa,High,67,578702855.0,180413426830.0,8637356.04477612,58
2024,August,Asuransi Jiwa Voluptates,Asuransi Jiwa,High,48,187932028.0,59497109729.0,3915250.5833333335,43
2024,August,Asuransi Kendaraan Consequatur,Asuransi Kendaraan,High,58,350019970.0,99002369208.0,6034827.068965517,45
2024,August,Asuransi Kendaraan Dolorum,Asuransi Kendaraan,Medium,59,186287604.0,53201174495.0,3157417.0169491526,49
2024,August,Asuransi Kendaraan Facilis,Asuransi Kendaraan,High,66,304741908.0,97309228138.0,4617301.636363637,59
2024,August,Asuransi Kendaraan Harum,Asuransi Kendaraan,High,58,424390485.0,128204970360.0,7317077.327586207,49
2024,August,Asuransi Kendaraan In,Asuransi Kendaraan,High,56,384833581.0,124857588577.0,6872028.232142857,44
2024,August,Asuransi Kendaraan Ipsa,Asuransi Kendaraan,High,47,297878457.0,96951469366.0,6337839.510638298,33
2024,August,Asuransi Kendaraan Officiis,Asuransi Kendaraan,High,70,465401848.0,144304680621.0,6648597.828571429,56
2024,August,Asuransi Kendaraan Omnis,Asuransi Kendaraan,High,47,242737332.0,75332845582.0,5164624.085106383,42
2024,August,Asuransi Kendaraan Quasi,Asuransi Kendaraan,High,51,217900330.0,66460738491.0,4272555.490196078,46
2024,August,Asuransi Kendaraan Quis,Asuransi Kendaraan,High,57,439967289.0,136624985374.0,7718724.368421053,46
2024,August,Asuransi Kendaraan Quo,Asuransi Kendaraan,High,63,361259729.0,102941781078.0,5734281.412698412,52
2024,August,Asuransi Kendaraan Tempore,Asuransi Kendaraan,Medium,57,168770074.0,49082422074.0,2960878.49122807,43
2024,August,Asuransi Kendaraan Ullam,Asuransi Kendaraan,Medium,65,229469846.0,65234926671.0,3530305.323076923,57
2024,August,Asuransi Kendaraan Vel,Asuransi Kendaraan,Low,72,64011901.0,18399433012.0,889054.1805555555,64
2024,August,Asuransi Kendaraan Voluptatibus,Asuransi Kendaraan,High,46,391522606.0,124965900930.0,8511361.0,36
2024,August,Asuransi Kendaraan Voluptatum,Asuransi Kendaraan,Medium,62,205842557.0,55779612709.0,3320041.2419354836,50
2024,August,Asuransi Kesehatan Adipisci,Asuransi Kesehatan,High,57,465543850.0,142030831703.0,8167435.96491228,44
2024,August,Asuransi Kesehatan Animi,Asuransi Kesehatan,High,55,299290230.0,94731736173.0,5441640.545454546,47
2024,August,Asuransi Kesehatan Aut,Asuransi Kesehatan,High,61,483677543.0,140639583209.0,7929140.049180328,49
2024,August,Asuransi Kesehatan Blanditiis,Asuransi Kesehatan,High,57,381337156.0,126116613102.0,6690125.543859649,51
2024,August,Asuransi Kesehatan Cupiditate,Asuransi Kesehatan,High,54,189444043.0,51612061608.0,3508223.0185185187,42
2024,August,Asuransi Kesehatan Distinctio,Asuransi Kesehatan,High,50,371622712.0,106096344402.0,7432454.24,47
2024,August,Asuransi Kesehatan Eaque,Asuransi Kesehatan,High,64,447319838.0,123246224839.0,6989372.46875,54
2024,August,Asuransi Kesehatan Eligendi,Asuransi Kesehatan,High,56,288904856.0,81243326577.0,5159015.285714285,49
2024,August,Asuransi Kesehatan Eum,Asuransi Kesehatan,High,67,506992075.0,137586469340.0,7567045.895522388,56
2024,August,Asuransi Kesehatan Ex,Asuransi Kesehatan,High,99,582397016.0,168494955135.0,5882798.141414141,81
2024,August,Asuransi Kesehatan Excepturi,Asuransi Kesehatan,High,38,227705119.0,67614087742.0,5992239.97368421,32
2024,August,Asuransi Kesehatan Officia,Asuransi Kesehatan,Medium,60,121753688.0,37760720472.0,2029228.1333333333,44
2024,August,Asuransi Kesehatan Officiis,Asuransi Kesehatan,High,160,919763269.0,283710826526.0,5748520.43125,140
2024,August,Asuransi Kesehatan Optio,Asuransi Kesehatan,Medium,40,90751123.0,32479843362.0,2268778.075,35
2024,August,Asuransi Kesehatan Soluta,Asuransi Kesehatan,Medium,56,141254496.0,43369073568.0,2522401.714285714,45
2024,August,Asuransi Kesehatan Suscipit,Asuransi Kesehatan,Medium,59,178349311.0,52602355631.0,3022869.6779661016,45
2024,August,Asuransi Kesehatan Veniam,Asuransi Kesehatan,High,56,254434288.0,68182216390.0,4543469.428571428,50
2024,August,Asuransi Pendidikan Aspernatur,Asuransi Pendidikan,Medium,58,65550308.0,18670071215.0,1130177.7241379311,54
2024,August,Asuransi Pendidikan Delectus,Asuransi Pendidikan,High,54,249246400.0,81596860800.0,4615674.074074074,44
2024,August,Asuransi Pendidikan Et,Asuransi Pendidikan,High,61,507761823.0,152318457537.0,8323964.31147541,52
2024,August,Asuransi Pendidikan Eum,Asuransi Pendidikan,High,73,403211713.0,120149021709.0,5523448.123287671,61
2024,August,Asuransi Pendidikan Incidunt,Asuransi Pendidikan,High,61,464110773.0,137603669541.0,7608373.327868853,53
2024,August,Asuransi Pendidikan Inventore,Asuransi Pendidikan,High,48,317022925.0,107631434388.0,6604644.270833333,40
2024,August,Asuransi Pendidikan Magnam,Asuransi Pendidikan,High,57,397794054.0,110724159086.0,6978843.052631579,44
2024,August,Asuransi Pendidikan Minima,Asuransi Pendidikan,High,43,283426656.0,77766879084.0,6591317.5813953485,33
2024,August,Asuransi Pendidikan Natus,Asuransi Pendidikan,High,52,445684983.0,128730343592.0,8570865.057692308,43
2024,August,Asuransi Pendidikan Nobis,Asuransi Pendidikan,High,64,483212616.0,136804443944.0,7550197.125,54
2024,August,Asuransi Pendidikan Nulla,Asuransi Pendidikan,High,68,520185275.0,147663606217.0,7649783.455882353,61
2024,August,Asuransi Pendidikan Occaecati,Asuransi Pendidikan,Medium,68,171591552.0,47888122953.0,2523405.1764705884,58
2024,August,Asuransi Pendidikan Odio,Asuransi Pendidikan,High,35,159426275.0,43852770355.0,4555036.428571428,28
2024,August,Asuransi Pendidikan Odit,Asuransi Pendidikan,Medium,73,267552842.0,80579734133.0,3665107.4246575343,56
2024,August,Asuransi Pendidikan Praesentium,Asuransi Pendidikan,High,55,400965919.0,129577781823.0,7290289.4363636365,43
2024,August,Asuransi Pendidikan Quasi,Asuransi Pendidikan,High,58,345597926.0,97623749104.0,5958584.931034483,50
2024,August,Asuransi Pendidikan Qui,Asuransi Pendidikan,High,56,290610651.0,88471468812.0,5189475.910714285,41
2024,August,Asuransi Pendidikan Quod,Asuransi Pendidikan,High,49,394096981.0,124920265038.0,8042795.530612245,44
2024,August,Asuransi Pendidikan Recusandae,Asuransi Pendidikan,Medium,56,119335737.0,34678358920.0,2130995.3035714286,48
2024,August,Asuransi Pendidikan Similique,Asuransi Pendidikan,Medium,50,78944626.0,26447059843.0,1578892.52,40
2024,August,Asuransi Pendidikan Sunt,Asuransi Pendidikan,High,55,541400386.0,164893381278.0,9843643.38181818,49
2024,August,Asuransi Pendidikan Suscipit,Asuransi Pendidikan,Medium,55,62884883.0,19093662604.0,1143361.509090909,43
2024,August,Asuransi Pendidikan Veritatis,Asuransi Pendidikan,High,52,208243588.0,63081984522.0,4004684.3846153845,44
2024,August,Asuransi Pendidikan Voluptatem,Asuransi Pendidikan,High,56,485157685.0,148902072990.0,8663530.089285715,49
2024,August,Asuransi Properti Aspernatur,Asuransi Properti,High,56,366332598.0,109193570517.0,6541653.535714285,47
2024,August,Asuransi Properti Eligendi,Asuransi Properti,Low,40,8286747.0,2605671670.0,207168.675,33
2024,August,Asuransi Properti Error,Asuransi Properti,High,66,617212220.0,194274020787.0,9351700.303030303,52
2024,August,Asuransi Properti Eum,Asuransi Properti,High,54,413565355.0,125436018795.0,7658617.685185186,46
2024,August,Asuransi Properti Fugit,Asuransi Properti,Medium,63,157911922.0,47488876939.0,2506538.4444444445,48
2024,August,Asuransi Properti Hic,Asuransi Properti,Medium,58,108944381.0,36290040554.0,1878351.396551724,48
2024,August,Asuransi Properti Illo,Asuransi Properti,High,49,288676013.0,79798469364.0,5891347.204081632,36
2024,August,Asuransi Properti Quidem,Asuransi Properti,High,58,553052839.0,169089484845.0,9535393.77586207,50
2024,August,Asuransi Properti Quod,Asuransi Properti,High,56,353235388.0,109015330778.0,6307774.785714285,47
2024,August,Asuransi Properti Sapiente,Asuransi Properti,High,46,198849554.0,58414580159.0,4322816.391304348,37
2024,August,Asuransi Properti Soluta,Asuransi Properti,High,61,388221389.0,122078468455.0,6364285.065573771,52
2024,August,Asuransi Properti Suscipit,Asuransi Properti,Low,46,39555010.0,11277413918.0,859891.5217391305,37
2024,August,Asuransi Properti Ullam,Asuransi Properti,Medium,54,105544430.0,32652308903.0,1954526.4814814816,46
2024,December,Asuransi Jiwa Accusantium,Asuransi Jiwa,High,72,308923316.0,87889146455.0,4290601.611111111,60
2024,December,Asuransi Jiwa Consectetur,Asuransi Jiwa,High,60,255812799.0,83080354409.0,4263546.65,48
2024,December,Asuransi Jiwa Corrupti,Asuransi Jiwa,High,73,456257188.0,138703182681.0,6250098.465753425,63
2024,December,Asuransi Jiwa Dicta,Asuransi Jiwa,High,59,464268442.0,146020717395.0,7868956.644067797,51
2024,December,Asuransi Jiwa Dolor,Asuransi Jiwa,High,66,544394878.0,173114720481.0,8248407.242424242,51
2024,December,Asuransi Jiwa Explicabo,Asuransi Jiwa,High,61,486451018.0,146462173176.0,7974606.852459016,52
2024,December,Asuransi Jiwa Fugiat,Asuransi Jiwa,Medium,58,60387968.0,17276908940.0,1041171.8620689656,52
2024,December,Asuransi Jiwa Impedit,Asuransi Jiwa,High,69,527897989.0,159560686818.0,7650695.492753623,55
2024,December,Asuransi Jiwa Ipsum,Asuransi Jiwa,Low,55,12499749.0,3819723152.0,227268.16363636364,48
2024,December,Asuransi Jiwa Iure,Asuransi Jiwa,High,67,351000831.0,110272446257.0,5238818.373134328,56
2024,December,Asuransi Jiwa Libero,Asuransi Jiwa,Medium,55,178104967.0,56628331519.0,3238272.1272727274,47
2024,December,Asuransi Jiwa Nam,Asuransi Jiwa,High,57,499686954.0,147256173402.0,8766437.789473685,53
2024,December,Asuransi Jiwa Neque,Asuransi Jiwa,Medium,47,64108580.0,20212315076.0,1364012.3404255318,37
2024,December,Asuransi Jiwa Nisi,Asuransi Jiwa,Medium,48,116301919.0,37344260008.0,2422956.6458333335,43
2024,December,Asuransi Jiwa Nostrum,Asuransi Jiwa,High,56,226656702.0,76059141200.0,4047441.1071428573,46
2024,December,Asuransi Jiwa Odit,Asuransi Jiwa,Medium,110,296889655.0,98057354696.0,2698996.8636363638,96
2024,December,Asuransi Jiwa Officia,Asuransi Jiwa,Low,59,48116936.0,13610848869.0,815541.2881355932,51
2024,December,Asuransi Jiwa Omnis,Asuransi Jiwa,High,45,365077356.0,121350815689.0,8112830.133333334,39
2024,December,Asuransi Jiwa Perspiciatis,Asuransi Jiwa,Medium,101,141101756.0,41508598270.0,1397047.0891089109,81
