year_actual,month_name,department,jabatan,nama_product,jenis_product,total_activities,total_sales,conversion_rate,avg_activity_duration
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Aliquid,Asuransi Jiwa,74,21,28.37837837837838,41.148648648648646
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Animi,Asuransi Jiwa,138,38,27.536231884057973,43.17391304347826
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Aperiam,Asuransi Jiwa,72,16,22.22222222222222,50.986111111111114
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Commodi,Asuransi Jiwa,69,22,31.88405797101449,45.53623188405797
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Eligendi,Asuransi Jiwa,69,22,31.88405797101449,50.05797101449275
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Facere,Asuransi Jiwa,63,19,30.158730158730158,45.77777777777778
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Fugiat,Asuransi Jiwa,75,21,28.000000000000004,44.986666666666665
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Nemo,Asuransi Jiwa,57,16,28.07017543859649,46.719298245614034
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Neque,Asuransi Jiwa,56,17,30.357142857142854,47.285714285714285
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Odio,Asuransi Jiwa,76,14,18.421052631578945,39.73684210526316
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Porro,Asuransi Jiwa,124,30,24.193548387096776,45.45967741935484
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Quae,Asuransi Jiwa,74,25,33.78378378378378,50.7972972972973
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Rem,Asuransi Jiwa,69,18,26.08695652173913,43.42028985507246
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Repellat,Asuransi Jiwa,63,15,23.809523809523807,45.53968253968254
2024,August,Sales,Regional Sales Manager,Asuransi Jiwa Tempora,Asuransi Jiwa,54,16,29.629629629629626,50.388888888888886
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Adipisci,Asuransi Kendaraan,52,12,23.076923076923077,46.05769230769231
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Asperiores,Asuransi Kendaraan,80,20,25.0,42.9125
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Beatae,Asuransi Kendaraan,66,14,21.21212121212121,47.60606060606061
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Deserunt,Asuransi Kendaraan,71,14,19.718309859154928,41.394366197183096
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Ducimus,Asuransi Kendaraan,67,22,32.83582089552239,49.16417910447761
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Enim,Asuransi Kendaraan,71,16,22.535211267605636,45.140845070422536
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Error,Asuransi Kendaraan,68,21,30.88235294117647,42.14705882352941
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Expedita,Asuransi Kendaraan,59,9,15.254237288135593,49.440677966101696
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Explicabo,Asuransi Kendaraan,61,14,22.950819672131146,44.31147540983606
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Fugit,Asuransi Kendaraan,73,19,26.027397260273972,42.31506849315068
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Laborum,Asuransi Kendaraan,58,20,34.48275862068966,38.172413793103445
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Minima,Asuransi Kendaraan,62,15,24.193548387096776,44.82258064516129
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Molestiae,Asuransi Kendaraan,54,22,40.74074074074074,45.94444444444444
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Odio,Asuransi Kendaraan,82,28,34.146341463414636,48.40243902439025
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Quaerat,Asuransi Kendaraan,61,12,19.672131147540984,43.59016393442623
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Quam,Asuransi Kendaraan,67,20,29.850746268656714,51.04477611940298
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Quasi,Asuransi Kendaraan,67,16,23.88059701492537,46.298507462686565
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Qui,Asuransi Kendaraan,80,26,32.5,42.2
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Rem,Asuransi Kendaraan,83,14,16.867469879518072,43.903614457831324
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Sequi,Asuransi Kendaraan,64,12,18.75,47.09375
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Sit,Asuransi Kendaraan,63,20,31.746031746031743,43.492063492063494
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Vitae,Asuransi Kendaraan,64,13,20.3125,48.625
2024,August,Sales,Regional Sales Manager,Asuransi Kendaraan Voluptatum,Asuransi Kendaraan,60,12,20.0,44.25
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan A,Asuransi Kesehatan,56,11,19.642857142857142,42.482142857142854
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Asperiores,Asuransi Kesehatan,76,23,30.263157894736842,45.473684210526315
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Doloribus,Asuransi Kesehatan,66,17,25.757575757575758,47.803030303030305
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Iure,Asuransi Kesehatan,60,18,30.0,49.8
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Libero,Asuransi Kesehatan,50,10,20.0,40.52
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Nesciunt,Asuransi Kesehatan,65,12,18.461538461538463,44.87692307692308
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Nulla,Asuransi Kesehatan,71,16,22.535211267605636,44.83098591549296
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Numquam,Asuransi Kesehatan,75,17,22.666666666666664,47.333333333333336
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Officiis,Asuransi Kesehatan,73,20,27.397260273972602,52.15068493150685
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Pariatur,Asuransi Kesehatan,64,19,29.6875,48.515625
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Perspiciatis,Asuransi Kesehatan,67,14,20.8955223880597,46.92537313432836
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Placeat,Asuransi Kesehatan,57,15,26.31578947368421,43.21052631578947
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Quia,Asuransi Kesehatan,65,20,30.76923076923077,47.6
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Repellat,Asuransi Kesehatan,70,22,31.428571428571427,48.01428571428571
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Suscipit,Asuransi Kesehatan,67,17,25.37313432835821,48.88059701492537
2024,August,Sales,Regional Sales Manager,Asuransi Kesehatan Ullam,Asuransi Kesehatan,57,17,29.82456140350877,51.49122807017544
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Aut,Asuransi Pendidikan,68,13,19.11764705882353,47.98529411764706
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Blanditiis,Asuransi Pendidikan,71,19,26.76056338028169,41.732394366197184
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Consequuntur,Asuransi Pendidikan,71,15,21.12676056338028,45.183098591549296
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Corrupti,Asuransi Pendidikan,122,36,29.508196721311474,44.950819672131146
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Dolores,Asuransi Pendidikan,66,17,25.757575757575758,46.24242424242424
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Earum,Asuransi Pendidikan,61,14,22.950819672131146,50.68852459016394
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Enim,Asuransi Pendidikan,61,13,21.311475409836063,46.21311475409836
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Ipsa,Asuransi Pendidikan,71,13,18.30985915492958,42.88732394366197
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Ipsum,Asuransi Pendidikan,82,23,28.04878048780488,48.09756097560975
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Mollitia,Asuransi Pendidikan,73,14,19.17808219178082,49.24657534246575
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Nesciunt,Asuransi Pendidikan,59,21,35.59322033898305,52.20338983050848
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Nostrum,Asuransi Pendidikan,65,15,23.076923076923077,51.38461538461539
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Numquam,Asuransi Pendidikan,60,19,31.666666666666664,52.583333333333336
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Omnis,Asuransi Pendidikan,73,22,30.136986301369863,44.84931506849315
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Pariatur,Asuransi Pendidikan,70,16,22.857142857142858,41.74285714285714
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Quis,Asuransi Pendidikan,70,17,24.285714285714285,48.857142857142854
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Quo,Asuransi Pendidikan,72,16,22.22222222222222,41.111111111111114
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Rem,Asuransi Pendidikan,72,15,20.833333333333336,48.34722222222222
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Soluta,Asuransi Pendidikan,69,12,17.391304347826086,38.43478260869565
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Tempore,Asuransi Pendidikan,73,17,23.28767123287671,40.31506849315068
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Voluptas,Asuransi Pendidikan,149,48,32.21476510067114,48.40268456375839
2024,August,Sales,Regional Sales Manager,Asuransi Pendidikan Voluptatem,Asuransi Pendidikan,136,42,30.88235294117647,44.845588235294116
2024,August,Sales,Regional Sales Manager,Asuransi Properti Ab,Asuransi Properti,61,19,31.147540983606557,50.868852459016395
2024,August,Sales,Regional Sales Manager,Asuransi Properti Dolorem,Asuransi Properti,73,16,21.91780821917808,46.97260273972603
2024,August,Sales,Regional Sales Manager,Asuransi Properti Eaque,Asuransi Properti,79,19,24.050632911392405,47.12658227848101
2024,August,Sales,Regional Sales Manager,Asuransi Properti Eligendi,Asuransi Properti,74,18,24.324324324324326,49.608108108108105
2024,August,Sales,Regional Sales Manager,Asuransi Properti Enim,Asuransi Properti,71,18,25.352112676056336,43.33802816901409
2024,August,Sales,Regional Sales Manager,Asuransi Properti Exercitationem,Asuransi Properti,73,17,23.28767123287671,46.31506849315068
2024,August,Sales,Regional Sales Manager,Asuransi Properti Libero,Asuransi Properti,68,18,26.47058823529412,45.60294117647059
2024,August,Sales,Regional Sales Manager,Asuransi Properti Molestiae,Asuransi Properti,64,16,25.0,40.578125
2024,August,Sales,Regional Sales Manager,Asuransi Properti Mollitia,Asuransi Properti,68,17,25.0,43.0
2024,August,Sales,Regional Sales Manager,Asuransi Properti Placeat,Asuransi Properti,54,15,27.77777777777778,48.592592592592595
2024,August,Sales,Regional Sales Manager,Asuransi Properti Quasi,Asuransi Properti,57,14,24.561403508771928,34.96491228070175
2024,August,Sales,Regional Sales Manager,Asuransi Properti Quia,Asuransi Properti,47,11,23.404255319148938,47.255319148936174
2024,August,Sales,Regional Sales Manager,Asuransi Properti Quidem,Asuransi Properti,63,10,15.873015873015872,48.46031746031746
2024,August,Sales,Regional Sales Manager,Asuransi Properti Quo,Asuransi Properti,66,11,16.666666666666664,43.06060606060606
2024,August,Sales,Regional Sales Manager,Asuransi Properti Repudiandae,Asuransi Properti,58,15,25.862068965517242,49.275862068965516
2024,August,Sales,Regional Sales Manager,Asuransi Properti Tenetur,Asuransi Properti,74,16,21.62162162162162,44.45945945945946
2024,August,Sales,Regional Sales Manager,Asuransi Properti Vel,Asuransi Properti,56,12,21.428571428571427,47.517857142857146
2024,August,Sales,Regional Sales Manager,Asuransi Properti Veritatis,Asuransi Properti,68,23,33.82352941176471,42.8235294117647
