investment_id,policy_id,investment_type,risk_level,investment_date,amount,fund_manager,initial_nav,units_purchased
INV-756836,POL-662802,Equity Fund,High,2025-02-19,3112769,PD Susanti Nainggolan Tbk,1135.14,2713.3139
INV-644574,POL-233238,Money Market Fund,Low,2025-06-03,5062975,CV Maheswara,1188.46,4025.8389
INV-078558,POL-356980,Fixed Income Fund,Low-Medium,2023-05-28,374249,UD Salahudin Wasita Tbk,1494.64,337.3037
INV-632337,POL-986491,Fixed Income Fund,Low-Medium,2025-06-23,1838029,PD Widodo (Persero) Tbk,1039.98,1284.0038
INV-677461,POL-235866,Money Market Fund,Low,2025-06-18,1416148,PT Palastri Sihombing (Persero) Tbk,1024.44,1133.5015
INV-190359,POL-967095,Fixed Income Fund,Low-Medium,2024-07-07,5265289,CV Megantara Oktaviani Tbk,1344.58,5190.5194
INV-492326,POL-450962,Money Market Fund,Low,2023-08-17,2588071,PT Yulianti Andriani,1092.85,2435.096
INV-681478,POL-174398,Fixed Income Fund,Low-Medium,2024-11-19,626669,Perum Pratama Siregar,1161.55,513.6715
INV-974988,POL-046364,Fixed Income Fund,Low-Medium,2024-09-20,3094936,Perum Latupono Habibi (Persero) Tbk,1146.52,2295.148
INV-594306,POL-978981,Money Market Fund,Low,2024-09-25,7165773,UD Yuniar Wijaya Tbk,1396.73,5903.3339
INV-444132,POL-617294,Money Market Fund,Low,2025-06-07,5649725,PD Sitompul Saptono,1035.41,4805.8072
INV-911560,POL-745389,Equity Fund,High,2023-02-04,6139863,PT Thamrin Rajasa,1044.3,4131.1216
INV-915711,POL-790805,Sharia Fund,Medium,2025-05-30,1502895,UD Padmasari,1465.74,1279.008
INV-148042,POL-365801,Fixed Income Fund,Low-Medium,2024-08-08,4206680,UD Nurdiyanti,1206.54,2875.6367
INV-868967,POL-880919,Money Market Fund,Low,2025-06-20,4255141,CV Hidayat Tbk,1200.75,3263.923
INV-824373,POL-092825,Balanced Fund,Medium,2025-06-15,4640528,Perum Gunawan Mardhiyah,1001.87,3870.4444
INV-663259,POL-443690,Balanced Fund,Medium,2024-06-06,3632121,UD Dongoran Anggraini Tbk,1100.95,3180.1816
INV-623073,POL-894641,Money Market Fund,Low,2024-12-24,989932,Perum Prastuti Usada (Persero) Tbk,1047.45,908.1187
INV-954131,POL-203417,Equity Fund,High,2023-10-08,5289173,UD Suryatmi (Persero) Tbk,1236.71,4788.1891
INV-958243,POL-987376,Fixed Income Fund,Low-Medium,2025-06-19,3165330,UD Yulianti Tbk,1286.36,2689.8789
INV-616378,POL-293996,Sharia Fund,Medium,2025-04-21,3684053,Perum Purwanti,1112.45,3456.6059
INV-835480,POL-146865,Balanced Fund,Medium,2025-07-01,1212675,Perum Anggriawan Tbk,1083.73,1108.1428
INV-421213,POL-882845,Fixed Income Fund,Low-Medium,2025-02-17,826176,PT Yuliarti Permata,1124.56,553.7218
INV-695237,POL-493625,Balanced Fund,Medium,2024-08-09,2182584,UD Megantara Sihotang Tbk,1474.23,1926.4779
INV-795496,POL-959471,Money Market Fund,Low,2025-04-29,5696716,PT Hartati Tbk,1282.91,4356.652
INV-752194,POL-733161,Balanced Fund,Medium,2025-06-18,3118443,CV Dongoran Setiawan,1329.21,2602.0218
INV-254885,POL-443931,Balanced Fund,Medium,2025-04-23,8542909,PD Damanik Palastri,1208.01,6195.2305
INV-857369,POL-302287,Money Market Fund,Low,2023-05-31,6631763,UD Widodo Siregar (Persero) Tbk,1376.27,4638.2096
INV-257381,POL-993330,Balanced Fund,Medium,2025-05-25,2850672,Perum Nababan Tbk,1260.55,2020.0454
INV-971130,POL-563166,Balanced Fund,Medium,2025-06-10,2486581,PD Gunawan,1048.22,1911.3461
INV-390119,POL-115007,Balanced Fund,Medium,2025-04-13,3798211,CV Jailani,1106.23,2923.81
INV-285174,POL-372410,Sharia Fund,Medium,2025-03-12,1304363,Perum Damanik,1167.82,1201.5732
INV-957869,POL-429981,Equity Fund,High,2024-12-31,415035,PD Sudiati Gunawan,1130.63,320.5213
INV-135959,POL-863669,Money Market Fund,Low,2025-05-07,6416720,PT Prasasta Tbk,1303.31,4510.8726
INV-391912,POL-770596,Equity Fund,High,2024-12-10,1592126,CV Mandasari Nashiruddin,1278.92,1268.5731
INV-068696,POL-689200,Equity Fund,High,2025-06-18,1880646,CV Jailani,1275.88,1553.3409
INV-151794,POL-005872,Fixed Income Fund,Low-Medium,2023-09-20,1944278,UD Rajasa,1037.73,1410.2182
INV-834523,POL-204013,Fixed Income Fund,Low-Medium,2025-04-29,2638756,CV Pratama Wastuti,1269.59,2289.4837
INV-928127,POL-855831,Equity Fund,High,2025-05-23,1375860,UD Samosir Yuliarti Tbk,1448.77,919.2999
INV-347447,POL-404359,Fixed Income Fund,Low-Medium,2024-07-11,7251693,Perum Megantara Tbk,1430.16,6156.652
INV-676776,POL-882960,Sharia Fund,Medium,2025-06-17,4410031,PD Prabowo (Persero) Tbk,1470.72,3410.1625
INV-411121,POL-432860,Money Market Fund,Low,2022-08-04,5782823,PT Hariyah Purwanti Tbk,1095.96,3856.6657
INV-031057,POL-126299,Sharia Fund,Medium,2025-06-14,3020587,PD Palastri Pranowo,1427.43,2274.7741
INV-708071,POL-149894,Balanced Fund,Medium,2025-03-20,9405009,CV Iswahyudi Tarihoran,1333.58,6612.4426
INV-016695,POL-313982,Fixed Income Fund,Low-Medium,2023-12-11,3785787,Perum Prayoga,1352.02,2878.2516
INV-391266,POL-435271,Equity Fund,High,2024-03-01,7155336,PT Manullang (Persero) Tbk,1319.36,7065.4824
INV-720866,POL-285196,Money Market Fund,Low,2024-08-03,1287202,PD Wijaya Wulandari,1089.59,1260.1089
INV-955097,POL-446622,Equity Fund,High,2025-07-08,3361364,Perum Hidayat Sinaga Tbk,1368.71,2960.1953
INV-583066,POL-658729,Money Market Fund,Low,2025-04-19,8807940,UD Nababan Usamah,1164.81,8396.6416
INV-352081,POL-602624,Fixed Income Fund,Low-Medium,2025-05-14,1979274,PD Wijaya (Persero) Tbk,1085.15,1696.0919
INV-646782,POL-158565,Balanced Fund,Medium,2024-02-02,359368,PT Mandala,1235.73,303.5633
INV-584215,POL-379589,Money Market Fund,Low,2024-08-27,8046223,Perum Nababan Mulyani Tbk,1006.48,5421.9534
INV-024418,POL-171477,Sharia Fund,Medium,2025-04-10,1519996,Perum Hidayanto Nurdiyanti Tbk,1243.18,1272.6608
INV-599384,POL-451532,Fixed Income Fund,Low-Medium,2025-06-03,1020499,PT Lazuardi Sirait,1407.02,810.4716
INV-908062,POL-271598,Fixed Income Fund,Low-Medium,2025-04-13,4450322,UD Saefullah,1425.5,2970.3207
INV-202737,POL-646757,Sharia Fund,Medium,2025-06-26,6662655,UD Suartini (Persero) Tbk,1341.45,5841.5468
INV-831866,POL-891918,Balanced Fund,Medium,2025-04-12,5424076,PT Sitorus (Persero) Tbk,1339.23,4118.1705
INV-587123,POL-103911,Fixed Income Fund,Low-Medium,2025-01-30,4918344,UD Mangunsong Nashiruddin,1470.16,4913.8685
INV-394868,POL-418455,Equity Fund,High,2024-11-28,3035422,PD Siregar,1293.6,2216.3466
INV-207198,POL-429059,Equity Fund,High,2025-05-12,6117882,CV Marpaung,1409.07,5695.8126
INV-456047,POL-024436,Equity Fund,High,2023-06-10,1880715,CV Irawan Sihombing Tbk,1234.83,1753.5424
INV-800930,POL-380396,Fixed Income Fund,Low-Medium,2024-06-21,7358359,CV Siregar Tbk,1014.54,6382.0783
INV-431717,POL-176716,Balanced Fund,Medium,2024-05-01,7975508,Perum Fujiati,1368.72,5742.9288
INV-215893,POL-568557,Balanced Fund,Medium,2025-04-23,4755463,PT Hastuti,1407.85,4512.1935
INV-937939,POL-904466,Sharia Fund,Medium,2024-11-14,6687199,Perum Rajasa Puspita,1031.57,4836.4915
INV-161036,POL-540372,Money Market Fund,Low,2024-06-04,7192920,Perum Budiman,1487.59,6779.0573
INV-414184,POL-876986,Sharia Fund,Medium,2023-12-26,1279363,UD Samosir,1298.56,1232.6148
