return_id,investment_id,return_date,previous_nav,current_nav,return_percentage,return_amount,ytd_return
RET-534148,INV-756836,2025-03-21,1135.14,1145.14,0.88,27123.67,0.88
RET-180346,INV-756836,2025-04-20,1145.1365092051449,1157.17,1.05,32658.49,1.94
RET-517530,INV-756836,2025-05-20,1157.1728939764032,1152.16,-0.43,-13591.06,1.5
RET-868800,INV-756836,2025-06-19,1152.1638669287524,1155.19,0.26,8211.79,1.77
RET-044833,INV-644574,2025-07-03,1188.46,1192.4,0.33,15877.2,0.33
RET-830802,INV-078558,2023-06-27,1494.64,1494.61,-0.0,-11.23,-0.0
RET-728917,INV-078558,2023-07-27,1494.6067030220104,1505.05,0.7,3521.27,0.7
RET-095015,INV-078558,2023-08-26,1505.046178891337,1519.04,0.93,4718.82,1.63
RET-891670,INV-078558,2023-09-25,1519.0359963003855,1530.6,0.76,3901.28,2.41
RET-401036,INV-078558,2023-10-25,1530.6020736479886,1539.82,0.6,3110.14,3.02
RET-786139,INV-190359,2024-08-06,1344.58,1358.31,1.02,71280.28,1.02
RET-773460,INV-190359,2024-09-05,1358.3127836838996,1368.59,0.76,53323.96,1.79
RET-450150,INV-190359,2024-10-05,1368.5861221198638,1377.68,0.66,47180.53,2.46
RET-938342,INV-190359,2024-11-04,1377.6758737180671,1396.57,1.37,98092.2,3.87
RET-685036,INV-190359,2024-12-04,1396.574213780352,1407.88,0.81,58685.94,4.71
RET-123173,INV-492326,2023-09-16,1092.85,1095.66,0.26,6850.6,0.26
RET-637037,INV-492326,2023-10-16,1095.663275344163,1103.83,0.75,19890.95,1.0
RET-209778,INV-492326,2023-11-15,1103.8317221926463,1110.02,0.56,15059.26,1.57
RET-427601,INV-492326,2023-12-15,1110.0159799064904,1116.86,0.62,16669.32,2.2
RET-176386,INV-492326,2024-01-14,1116.8614262927852,1119.95,0.28,7510.34,2.48
RET-610963,INV-681478,2024-12-19,1161.55,1172.32,0.93,5530.19,0.93
RET-559530,INV-681478,2025-01-18,1172.315996866742,1179.92,0.65,3905.92,1.58
RET-339025,INV-681478,2025-02-17,1179.9199154916375,1187.53,0.64,3907.17,2.24
RET-818542,INV-681478,2025-03-19,1187.5262730552015,1188.27,0.06,382.14,2.3
RET-109451,INV-681478,2025-04-18,1188.2702020957634,1200.5,1.03,6284.19,3.35
RET-957620,INV-974988,2024-10-20,1146.52,1156.0,0.83,21753.9,0.83
RET-278876,INV-974988,2024-11-19,1155.9982110796996,1167.31,0.98,25952.99,1.81
RET-614480,INV-974988,2024-12-19,1167.30597495753,1174.06,0.58,15505.25,2.4
RET-516520,INV-974988,2025-01-18,1174.0616402466583,1189.1,1.28,34520.5,3.71
RET-735014,INV-974988,2025-02-17,1189.1022837495336,1187.52,-0.13,-3632.57,3.58
RET-989584,INV-594306,2024-10-25,1396.73,1405.71,0.64,52985.89,0.64
RET-160790,INV-594306,2024-11-24,1405.7055880142914,1410.21,0.32,26595.17,0.97
RET-417514,INV-594306,2024-12-24,1410.2106987026832,1420.51,0.73,60777.63,1.7
RET-716734,INV-594306,2025-01-23,1420.5061736595792,1426.2,0.4,33590.45,2.11
RET-791469,INV-594306,2025-02-22,1426.1962546482416,1433.43,0.51,42686.31,2.63
RET-985988,INV-444132,2025-07-07,1035.41,1042.24,0.66,32845.36,0.66
RET-129688,INV-911560,2023-03-06,1044.3,1067.0,2.17,93792.32,2.17
RET-312146,INV-911560,2023-04-05,1067.0038390492402,1080.35,1.25,55121.55,3.45
RET-027950,INV-911560,2023-05-05,1080.3468373299386,1111.68,2.9,129430.22,6.45
RET-072006,INV-911560,2023-06-04,1111.6773641043792,1121.39,0.87,40104.8,7.38
RET-527203,INV-911560,2023-07-04,1121.3853328540945,1128.48,0.63,29296.87,8.06
RET-013570,INV-915711,2025-06-29,1465.74,1478.72,0.89,16599.36,0.89
RET-670095,INV-148042,2024-09-07,1206.54,1215.58,0.75,26000.61,0.75
RET-713585,INV-148042,2024-10-07,1215.5816896770812,1227.79,1.0,35107.03,1.76
RET-705661,INV-148042,2024-11-06,1227.7901253858724,1233.46,0.46,16311.1,2.23
RET-625883,INV-148042,2024-12-06,1233.462293689335,1255.55,1.79,63502.14,4.06
RET-931084,INV-148042,2025-01-05,1255.5451053402983,1251.61,-0.31,-11326.22,3.74
